trip_id,rider_id,driver_id,pickup_location,drop_location,city,distance_km,surge_multiplier,base_fare,fare_amount,trip_status,requested_at,accepted_at,completed_at,cancelled_at
18,49,52.0,"172 Street, MG Road","118 Cross, T Nagar",Ahmedabad,8.96,1.2,108.72,209.66,COMPLETED,2024-12-13 16:28:03,2024-12-13 16:31:03,2024-12-13 17:34:03,
19,56,20.0,"220 Street, Adyar","70 Layout, Viman Nagar",Kolkata,7.95,1.0,78.65,0.0,ACCEPTED,2025-11-14 17:23:01,2025-11-14 17:25:01,,
20,15,,"129 Street, Aundh","208 Layout, Powai",Kolkata,10.09,1.0,78.56,0.0,CANCELLED,2025-07-03 08:08:12,,,2025-07-03 08:20:12
21,55,19.0,"139 Layout, Aundh","170 Street, Gachibowli",Delhi,14.93,1.0,137.71,313.35,COMPLETED,2025-02-02 02:54:40,2025-02-02 03:02:40,2025-02-02 04:20:40,
22,80,33.0,"250 Layout, Adyar","153 Street, T Nagar",Hyderabad,14.74,1.2,141.76,393.32,COMPLETED,2025-03-27 12:29:17,2025-03-27 12:34:17,2025-03-27 13:31:17,
23,13,39.0,"52 Layout, MG Road","29 Main Rd, Viman Nagar",Bengaluru,10.23,1.5,173.26,327.07,COMPLETED,2025-05-09 22:57:59,2025-05-09 22:59:59,2025-05-09 23:57:59,
24,59,,"50 Street, MG Road","6 Main Rd, T Nagar",Ahmedabad,9.0,1.0,83.88,0.0,CANCELLED,2025-10-15 03:40:09,,,2025-10-15 03:49:09
25,32,54.0,"130 Cross, Aundh","41 Street, Connaught Place",Pune,11.47,1.0,106.92,0.0,ACCEPTED,2025-07-12 19:46:31,2025-07-12 19:53:31,,
26,45,,"126 Cross, Salt Lake","222 Main Rd, Connaught Place",Mumbai,23.6,1.5,111.06,0.0,REQUESTED,2025-07-26 00:39:38,,,
27,16,65.0,"215 Street, MG Road","53 Main Rd, Indiranagar",Kolkata,13.68,1.5,68.5,0.0,ACCEPTED,2024-10-04 18:28:45,2024-10-04 18:30:45,,
28,7,35.0,"126 Street, Adyar","190 Layout, T Nagar",Mumbai,10.9,1.2,116.92,318.84,COMPLETED,2025-05-30 14:16:42,2025-05-30 14:18:42,2025-05-30 15:11:42,
29,6,35.0,"43 Layout, MG Road","191 Main Rd, Powai",Mumbai,23.56,1.5,123.58,605.4,COMPLETED,2025-07-23 03:16:15,2025-07-23 03:18:15,2025-07-23 03:36:15,
30,54,56.0,"97 Main Rd, Bandra","204 Layout, Gachibowli",Delhi,18.4,1.5,98.17,485.02,COMPLETED,2024-09-03 06:59:55,2024-09-03 07:00:55,2024-09-03 07:27:55,
31,14,16.0,"222 Street, Aundh","35 Street, Gachibowli",Bengaluru,2.64,1.0,67.55,0.0,ACCEPTED,2025-08-19 02:57:19,2025-08-19 03:04:19,,
32,33,10.0,"73 Cross, Aundh","228 Layout, Powai",Pune,13.04,1.0,161.38,287.4,COMPLETED,2025-02-06 20:28:38,2025-02-06 20:36:38,2025-02-06 21:41:38,
33,6,53.0,"101 Street, Aundh","208 Main Rd, Gachibowli",Mumbai,10.4,1.5,163.11,424.59,COMPLETED,2025-01-15 22:30:55,2025-01-15 22:37:55,2025-01-15 22:58:55,
34,33,46.0,"245 Main Rd, HSR","80 Street, Gachibowli",Pune,11.24,1.2,178.6,303.78,COMPLETED,2025-07-05 15:36:06,2025-07-05 15:42:06,2025-07-05 16:53:06,
35,71,28.0,"237 Main Rd, HSR","53 Cross, T Nagar",Delhi,10.57,1.5,158.3,378.87,COMPLETED,2024-05-26 08:59:54,2024-05-26 09:04:54,2024-05-26 09:37:54,
36,21,35.0,"100 Main Rd, MG Road","63 Street, Connaught Place",Mumbai,4.95,1.5,163.86,50.0,CANCELLED,2025-12-09 13:03:56,,,2025-12-09 13:23:56
37,34,9.0,"133 Street, HSR","44 Street, Powai",Mumbai,12.1,1.2,124.02,0.0,ACCEPTED,2025-08-30 19:18:36,2025-08-30 19:21:36,,
38,76,46.0,"181 Street, Bandra","97 Layout, Powai",Pune,10.83,1.0,144.94,292.32,COMPLETED,2025-08-18 21:25:29,2025-08-18 21:26:29,2025-08-18 21:51:29,
39,8,12.0,"46 Street, Aundh","116 Cross, Powai",Chennai,8.12,1.5,143.8,277.23,COMPLETED,2024-08-13 18:35:44,2024-08-13 18:41:44,2024-08-13 19:17:44,
40,54,19.0,"102 Cross, Salt Lake","144 Cross, Indiranagar",Delhi,15.55,1.2,156.6,335.37,COMPLETED,2024-01-02 02:32:57,2024-01-02 02:33:57,2024-01-02 03:05:57,
41,34,,"121 Layout, Salt Lake","93 Street, Connaught Place",Mumbai,2.43,1.0,128.9,0.0,REQUESTED,2025-07-14 16:55:35,,,
42,46,68.0,"15 Layout, Salt Lake","184 Main Rd, Connaught Place",Ahmedabad,2.53,1.5,132.35,197.14,COMPLETED,2025-03-01 21:03:01,2025-03-01 21:08:01,2025-03-01 22:07:01,
43,44,14.0,"222 Street, Aundh","127 Cross, T Nagar",Kolkata,18.75,1.0,168.09,338.19,COMPLETED,2024-02-10 13:52:42,2024-02-10 13:53:42,2024-02-10 15:09:42,
44,68,59.0,"6 Layout, Aundh","64 Layout, Powai",Pune,22.88,1.2,92.74,75.0,CANCELLED,2024-04-09 21:40:06,,,2024-04-09 21:54:06
45,76,54.0,"240 Cross, Salt Lake","3 Cross, Gachibowli",Pune,18.22,1.0,63.14,50.0,CANCELLED,2025-08-04 10:48:18,,,2025-08-04 11:05:18
46,56,20.0,"190 Main Rd, Salt Lake","250 Cross, Viman Nagar",Kolkata,5.33,1.0,88.88,149.38,COMPLETED,2024-01-19 09:25:41,2024-01-19 09:28:41,2024-01-19 10:32:41,
47,55,23.0,"128 Main Rd, MG Road","74 Layout, T Nagar",Delhi,3.58,1.2,84.27,152.49,COMPLETED,2025-05-04 14:13:36,2025-05-04 14:21:36,2025-05-04 15:14:36,
48,65,,"102 Cross, HSR","217 Street, Gachibowli",Delhi,11.09,1.2,109.29,0.0,REQUESTED,2025-10-02 00:30:16,,,
49,8,11.0,"90 Street, Bandra","117 Layout, Gachibowli",Chennai,7.38,1.0,79.16,189.36,COMPLETED,2024-07-20 10:35:57,2024-07-20 10:41:57,2024-07-20 11:05:57,
50,12,35.0,"74 Cross, MG Road","229 Layout, Viman Nagar",Mumbai,21.31,1.2,83.1,427.29,COMPLETED,2024-02-20 19:33:39,2024-02-20 19:37:39,2024-02-20 20:07:39,
51,27,62.0,"233 Cross, Adyar","90 Layout, Powai",Mumbai,20.52,1.2,139.36,0.0,ACCEPTED,2025-12-14 06:20:14,2025-12-14 06:27:14,,
52,38,16.0,"144 Layout, Bandra","247 Layout, Indiranagar",Bengaluru,10.37,1.0,136.07,75.0,CANCELLED,2025-01-18 16:43:00,,,2025-01-18 16:49:00
53,12,,"230 Street, MG Road","172 Layout, Powai",Mumbai,6.01,1.5,82.2,0.0,REQUESTED,2024-09-15 20:38:51,,,
54,45,66.0,"137 Cross, Bandra","38 Layout, Indiranagar",Mumbai,10.01,1.2,106.21,263.36,COMPLETED,2024-06-02 23:02:14,2024-06-02 23:05:14,2024-06-02 23:56:14,
55,50,43.0,"37 Layout, Salt Lake","24 Cross, Indiranagar",Hyderabad,8.13,1.0,92.31,209.99,COMPLETED,2024-06-07 08:14:14,2024-06-07 08:15:14,2024-06-07 09:28:14,
56,4,57.0,"240 Main Rd, MG Road","246 Street, T Nagar",Ahmedabad,5.07,1.2,88.65,0.0,ONGOING,2025-03-14 13:21:03,2025-03-14 13:24:03,,
57,75,44.0,"209 Street, Aundh","112 Layout, T Nagar",Chennai,14.65,1.0,90.7,286.91,COMPLETED,2024-01-02 19:38:45,2024-01-02 19:42:45,2024-01-02 20:28:45,
58,34,35.0,"154 Cross, Aundh","1 Main Rd, Connaught Place",Mumbai,13.77,1.0,103.13,0.0,ONGOING,2025-11-24 20:26:28,2025-11-24 20:27:28,,
59,65,23.0,"99 Layout, Salt Lake","61 Street, Connaught Place",Delhi,2.88,1.0,130.62,154.5,COMPLETED,2024-11-03 20:07:22,2024-11-03 20:12:22,2024-11-03 21:29:22,
60,33,10.0,"155 Street, HSR","225 Main Rd, Powai",Pune,14.34,1.0,115.51,251.28,COMPLETED,2025-09-08 17:25:36,2025-09-08 17:30:36,2025-09-08 18:18:36,
61,2,4.0,"83 Cross, Adyar","206 Layout, Connaught Place",Ahmedabad,1.61,1.0,136.43,0.0,ACCEPTED,2024-08-31 22:00:56,2024-08-31 22:07:56,,
62,72,57.0,"70 Street, Bandra","181 Layout, T Nagar",Ahmedabad,12.24,1.2,104.62,20.0,CANCELLED,2025-12-29 14:36:36,,,2025-12-29 14:45:36
63,54,63.0,"28 Layout, HSR","45 Cross, Connaught Place",Delhi,16.25,1.5,88.13,0.0,ONGOING,2024-01-28 16:59:12,2024-01-28 17:03:12,,
64,19,54.0,"187 Main Rd, Aundh","128 Street, Viman Nagar",Pune,2.13,1.5,99.38,139.35,COMPLETED,2024-10-01 09:52:07,2024-10-01 10:00:07,2024-10-01 10:23:07,
65,60,46.0,"160 Layout, MG Road","115 Layout, Gachibowli",Pune,21.7,1.2,77.06,305.54,COMPLETED,2024-09-21 07:25:42,2024-09-21 07:27:42,2024-09-21 07:56:42,
66,60,46.0,"68 Cross, Bandra","223 Main Rd, Connaught Place",Pune,12.57,1.0,161.52,349.45,COMPLETED,2025-12-07 21:44:37,2025-12-07 21:50:37,2025-12-07 22:47:37,
67,26,40.0,"82 Street, Aundh","236 Layout, T Nagar",Hyderabad,4.01,1.5,100.67,190.63,COMPLETED,2024-02-12 18:29:17,2024-02-12 18:33:17,2024-02-12 19:21:17,
68,61,,"20 Cross, Adyar","239 Cross, T Nagar",Kolkata,2.06,1.5,128.42,0.0,REQUESTED,2025-06-27 00:08:22,,,
69,31,60.0,"48 Cross, Salt Lake","70 Main Rd, Viman Nagar",Hyderabad,12.15,1.0,130.8,255.24,COMPLETED,2024-07-22 02:32:36,2024-07-22 02:35:36,2024-07-22 03:43:36,
70,58,66.0,"153 Layout, HSR","134 Cross, Powai",Mumbai,15.44,1.2,79.14,0.0,ACCEPTED,2025-05-02 19:24:53,2025-05-02 19:25:53,,
71,25,51.0,"172 Layout, HSR","8 Main Rd, Viman Nagar",Chennai,3.28,1.5,160.84,0.0,ONGOING,2025-02-02 21:22:09,2025-02-02 21:27:09,,
72,71,23.0,"105 Main Rd, HSR","231 Main Rd, Connaught Place",Delhi,11.63,1.5,157.31,315.26,COMPLETED,2024-11-01 23:57:56,2024-11-02 00:04:56,2024-11-02 01:21:56,
73,12,9.0,"20 Main Rd, MG Road","228 Cross, T Nagar",Mumbai,14.04,1.2,174.83,0.0,ONGOING,2025-09-02 10:20:26,2025-09-02 10:25:26,,
74,50,70.0,"96 Cross, Aundh","214 Main Rd, Indiranagar",Hyderabad,2.52,1.2,177.33,219.16,COMPLETED,2025-02-17 19:42:56,2025-02-17 19:48:56,2025-02-17 21:11:56,
75,19,59.0,"163 Layout, Adyar","96 Layout, Connaught Place",Pune,12.69,1.0,86.51,269.87,COMPLETED,2024-12-10 20:16:18,2024-12-10 20:20:18,2024-12-10 20:48:18,
76,40,49.0,"192 Cross, Bandra","7 Main Rd, Connaught Place",Kolkata,1.68,1.5,127.77,165.15,COMPLETED,2025-03-09 22:33:28,2025-03-09 22:34:28,2025-03-09 23:34:28,
77,29,63.0,"24 Main Rd, Bandra","103 Layout, Viman Nagar",Delhi,2.35,1.0,138.98,160.23,COMPLETED,2024-12-29 04:04:31,2024-12-29 04:08:31,2024-12-29 05:10:31,
78,15,,"231 Cross, Adyar","170 Cross, Indiranagar",Kolkata,6.3,1.0,178.59,0.0,REQUESTED,2025-03-15 17:03:10,,,
79,55,,"214 Cross, Bandra","79 Main Rd, Powai",Delhi,13.93,1.2,125.11,0.0,CANCELLED,2024-02-28 16:09:26,,,2024-02-28 16:21:26
80,44,,"39 Street, HSR","93 Main Rd, Viman Nagar",Kolkata,9.67,1.0,137.4,0.0,CANCELLED,2025-07-27 00:38:30,,,2025-07-27 00:40:30
81,35,44.0,"155 Main Rd, Aundh","25 Street, Powai",Chennai,20.87,1.0,175.3,411.3,COMPLETED,2025-12-01 18:45:09,2025-12-01 18:46:09,2025-12-01 19:37:09,
82,51,9.0,"42 Layout, MG Road","60 Street, Gachibowli",Mumbai,12.46,1.2,172.85,297.27,COMPLETED,2025-11-05 17:04:24,2025-11-05 17:08:24,2025-11-05 17:46:24,
83,27,,"161 Layout, MG Road","48 Main Rd, Gachibowli",Mumbai,1.78,1.0,127.4,0.0,CANCELLED,2025-06-29 00:02:40,,,2025-06-29 00:04:40
84,63,13.0,"127 Street, HSR","246 Layout, Indiranagar",Mumbai,14.72,1.5,102.3,490.5,COMPLETED,2025-12-23 22:31:52,2025-12-23 22:36:52,2025-12-23 23:16:52,
85,80,40.0,"166 Layout, HSR","52 Cross, Viman Nagar",Hyderabad,19.95,1.2,79.74,407.88,COMPLETED,2024-11-20 17:21:34,2024-11-20 17:25:34,2024-11-20 18:26:34,
86,75,,"161 Street, Bandra","170 Main Rd, Viman Nagar",Chennai,12.35,1.5,153.91,0.0,REQUESTED,2025-03-29 14:44:49,,,
87,64,59.0,"242 Street, Aundh","106 Cross, Gachibowli",Pune,3.4,1.2,128.8,185.07,COMPLETED,2025-02-13 13:10:33,2025-02-13 13:17:33,2025-02-13 14:31:33,
88,73,,"209 Main Rd, Adyar","196 Layout, T Nagar",Hyderabad,18.79,1.5,109.92,0.0,CANCELLED,2025-02-14 22:04:51,,,2025-02-14 22:13:51
89,65,19.0,"195 Street, HSR","147 Main Rd, Indiranagar",Delhi,2.68,1.0,70.97,0.0,ACCEPTED,2025-03-10 23:00:09,2025-03-10 23:03:09,,
90,34,35.0,"243 Main Rd, Aundh","171 Main Rd, Viman Nagar",Mumbai,2.01,1.5,98.43,0.0,ONGOING,2024-01-11 01:18:35,2024-01-11 01:25:35,,
91,38,38.0,"230 Layout, Aundh","249 Layout, Indiranagar",Bengaluru,12.66,1.2,98.08,298.22,COMPLETED,2025-06-19 22:37:43,2025-06-19 22:38:43,2025-06-19 23:32:43,
92,24,46.0,"75 Cross, Adyar","98 Cross, Gachibowli",Pune,19.75,1.0,67.51,286.43,COMPLETED,2024-05-01 00:49:48,2024-05-01 00:54:48,2024-05-01 01:49:48,
93,48,68.0,"240 Street, HSR","219 Main Rd, Indiranagar",Ahmedabad,13.86,1.5,156.63,372.4,COMPLETED,2025-12-19 09:18:43,2025-12-19 09:20:43,2025-12-19 10:29:43,
94,67,,"129 Layout, Adyar","234 Layout, Indiranagar",Ahmedabad,22.43,1.2,102.9,0.0,CANCELLED,2024-02-15 08:59:36,,,2024-02-15 09:00:36
95,4,,"179 Main Rd, Adyar","204 Cross, Gachibowli",Ahmedabad,12.51,1.2,162.93,0.0,CANCELLED,2024-12-05 06:20:10,,,2024-12-05 06:38:10
96,32,46.0,"73 Layout, HSR","193 Cross, Viman Nagar",Pune,19.29,1.5,70.09,443.2,COMPLETED,2025-04-03 18:08:17,2025-04-03 18:10:17,2025-04-03 19:22:17,
97,25,44.0,"187 Main Rd, Aundh","94 Layout, Indiranagar",Chennai,9.95,1.0,61.29,75.0,CANCELLED,2025-05-24 04:51:03,,,2025-05-24 04:58:03
98,6,9.0,"192 Cross, HSR","114 Street, Gachibowli",Mumbai,6.54,1.0,129.93,189.82,COMPLETED,2025-01-29 00:18:32,2025-01-29 00:24:32,2025-01-29 01:40:32,
99,18,41.0,"161 Main Rd, Bandra","29 Street, Powai",Bengaluru,11.81,1.2,101.82,272.8,COMPLETED,2024-09-16 16:41:38,2024-09-16 16:48:38,2024-09-16 17:59:38,
100,18,42.0,"161 Cross, Salt Lake","20 Main Rd, Gachibowli",Bengaluru,21.65,1.2,121.99,517.66,COMPLETED,2024-01-10 09:54:01,2024-01-10 10:02:01,2024-01-10 10:35:01,
101,9,57.0,"65 Layout, Aundh","155 Street, Gachibowli",Ahmedabad,14.61,1.2,129.49,340.09,COMPLETED,2025-01-06 10:54:16,2025-01-06 10:59:16,2025-01-06 11:56:16,
102,69,59.0,"138 Street, MG Road","177 Cross, Powai",Pune,6.04,1.2,84.07,0.0,ACCEPTED,2025-04-11 08:02:31,2025-04-11 08:03:31,,
103,27,9.0,"114 Main Rd, Aundh","95 Layout, Powai",Mumbai,3.45,1.0,132.1,184.54,COMPLETED,2024-02-26 04:40:34,2024-02-26 04:48:34,2024-02-26 06:09:34,
104,74,52.0,"30 Layout, Bandra","155 Main Rd, T Nagar",Ahmedabad,2.22,1.0,154.09,173.45,COMPLETED,2024-06-05 17:29:37,2024-06-05 17:30:37,2024-06-05 18:03:37,
105,45,66.0,"69 Main Rd, Salt Lake","79 Street, Viman Nagar",Mumbai,1.94,1.0,160.4,176.1,COMPLETED,2024-04-04 02:50:42,2024-04-04 02:53:42,2024-04-04 03:24:42,
106,38,16.0,"226 Cross, HSR","50 Cross, Powai",Bengaluru,23.98,1.2,168.68,501.05,COMPLETED,2025-10-21 01:13:15,2025-10-21 01:18:15,2025-10-21 02:09:15,
107,64,59.0,"195 Main Rd, Aundh","80 Street, Connaught Place",Pune,23.09,1.0,151.98,493.26,COMPLETED,2025-04-12 01:18:24,2025-04-12 01:25:24,2025-04-12 01:49:24,
108,9,48.0,"85 Street, Adyar","128 Layout, Indiranagar",Ahmedabad,8.78,1.2,138.98,235.19,COMPLETED,2024-08-25 11:24:38,2024-08-25 11:30:38,2024-08-25 12:44:38,
109,26,43.0,"133 Street, Aundh","201 Cross, Indiranagar",Hyderabad,22.36,1.5,85.07,540.43,COMPLETED,2025-05-30 10:35:38,2025-05-30 10:37:38,2025-05-30 11:01:38,
110,50,64.0,"179 Street, HSR","141 Layout, T Nagar",Hyderabad,10.97,1.0,161.85,0.0,ONGOING,2025-07-26 16:16:52,2025-07-26 16:21:52,,
111,21,58.0,"163 Street, Bandra","14 Cross, Viman Nagar",Mumbai,21.39,1.5,145.99,723.51,COMPLETED,2024-11-13 09:58:10,2024-11-13 10:06:10,2024-11-13 11:00:10,
112,3,,"204 Layout, Salt Lake","26 Main Rd, Connaught Place",Ahmedabad,7.17,1.5,105.34,0.0,CANCELLED,2025-12-22 09:53:12,,,2025-12-22 10:05:12
113,13,16.0,"86 Cross, Aundh","124 Main Rd, Connaught Place",Bengaluru,2.68,1.5,153.85,0.0,ONGOING,2025-05-03 12:37:48,2025-05-03 12:38:48,,
114,54,,"206 Street, Bandra","236 Layout, Gachibowli",Delhi,22.38,1.2,166.07,0.0,CANCELLED,2025-03-17 21:32:01,,,2025-03-17 21:49:01
115,52,32.0,"196 Main Rd, Bandra","231 Layout, Viman Nagar",Bengaluru,16.59,1.2,158.39,480.98,COMPLETED,2024-06-08 10:31:46,2024-06-08 10:33:46,2024-06-08 11:39:46,
116,43,49.0,"46 Main Rd, HSR","2 Layout, T Nagar",Kolkata,16.28,1.0,88.89,50.0,CANCELLED,2024-06-22 19:37:21,,,2024-06-22 19:53:21
117,50,43.0,"67 Street, HSR","101 Street, Indiranagar",Hyderabad,3.64,1.0,102.72,165.41,COMPLETED,2024-05-07 12:03:15,2024-05-07 12:10:15,2024-05-07 13:13:15,
118,20,66.0,"86 Main Rd, HSR","106 Cross, Gachibowli",Mumbai,11.76,1.0,96.48,251.05,COMPLETED,2025-07-27 13:04:06,2025-07-27 13:05:06,2025-07-27 13:58:06,
119,71,28.0,"52 Street, Aundh","63 Street, Powai",Delhi,23.44,1.0,137.18,0.0,ONGOING,2025-11-01 19:55:06,2025-11-01 20:01:06,,
120,27,58.0,"30 Main Rd, Salt Lake","229 Cross, Viman Nagar",Mumbai,23.93,1.5,169.82,0.0,ACCEPTED,2025-12-11 06:42:53,2025-12-11 06:43:53,,
121,19,59.0,"1 Main Rd, HSR","216 Main Rd, Gachibowli",Pune,4.12,1.5,155.67,0.0,ONGOING,2024-06-17 09:49:47,2024-06-17 09:53:47,,
122,17,52.0,"31 Main Rd, MG Road","48 Cross, Gachibowli",Ahmedabad,16.62,1.5,75.86,0.0,ACCEPTED,2025-10-06 16:19:26,2025-10-06 16:21:26,,
123,55,23.0,"250 Layout, MG Road","133 Cross, Connaught Place",Delhi,21.31,1.0,163.07,422.97,COMPLETED,2025-06-23 00:30:20,2025-06-23 00:33:20,2025-06-23 00:48:20,
124,63,35.0,"30 Cross, Aundh","65 Layout, Gachibowli",Mumbai,6.11,1.5,111.18,0.0,ONGOING,2025-07-07 14:54:13,2025-07-07 15:01:13,,
125,19,54.0,"168 Street, HSR","24 Layout, Connaught Place",Pune,8.8,1.2,148.44,245.41,COMPLETED,2025-11-30 17:04:01,2025-11-30 17:10:01,2025-11-30 17:40:01,
126,36,46.0,"111 Street, Aundh","173 Layout, T Nagar",Pune,10.86,1.0,127.6,274.36,COMPLETED,2024-11-24 15:02:04,2024-11-24 15:03:04,2024-11-24 15:52:04,
127,22,30.0,"155 Layout, Salt Lake","117 Main Rd, Viman Nagar",Ahmedabad,2.45,1.2,108.08,152.86,COMPLETED,2024-07-02 00:42:45,2024-07-02 00:46:45,2024-07-02 01:42:45,
128,17,4.0,"107 Main Rd, Bandra","185 Layout, Gachibowli",Ahmedabad,4.61,1.0,125.28,172.23,COMPLETED,2025-03-24 16:16:58,2025-03-24 16:23:58,2025-03-24 17:27:58,
129,52,2.0,"69 Main Rd, Bandra","41 Layout, Indiranagar",Bengaluru,4.76,1.5,104.53,182.2,COMPLETED,2024-08-03 16:23:06,2024-08-03 16:24:06,2024-08-03 17:24:06,
130,19,8.0,"127 Street, Adyar","90 Street, Indiranagar",Pune,18.7,1.0,85.42,342.62,COMPLETED,2024-12-21 23:52:51,2024-12-22 00:00:51,2024-12-22 00:41:51,
131,74,52.0,"194 Layout, MG Road","125 Cross, Viman Nagar",Ahmedabad,5.06,1.2,73.9,0.0,ONGOING,2025-09-28 18:28:11,2025-09-28 18:29:11,,
132,22,,"17 Layout, MG Road","101 Street, Viman Nagar",Ahmedabad,20.18,1.5,72.9,0.0,CANCELLED,2024-02-16 04:09:30,,,2024-02-16 04:28:30
133,63,62.0,"79 Cross, Adyar","160 Layout, Powai",Mumbai,11.09,1.2,101.04,20.0,CANCELLED,2024-12-25 19:08:50,,,2024-12-25 19:27:50
134,60,10.0,"188 Cross, MG Road","166 Street, Viman Nagar",Pune,10.61,1.2,166.13,30.0,CANCELLED,2024-11-23 17:28:49,,,2024-11-23 17:41:49
135,27,,"175 Main Rd, HSR","109 Cross, Connaught Place",Mumbai,10.56,1.2,120.65,0.0,REQUESTED,2025-09-21 05:24:01,,,
136,53,26.0,"239 Layout, MG Road","37 Cross, T Nagar",Bengaluru,4.23,1.0,157.27,0.0,ONGOING,2025-04-26 16:43:09,2025-04-26 16:46:09,,
137,61,65.0,"56 Main Rd, MG Road","60 Main Rd, Viman Nagar",Kolkata,14.29,1.5,93.97,441.85,COMPLETED,2025-05-08 22:55:26,2025-05-08 23:01:26,2025-05-08 23:45:26,
138,47,70.0,"186 Cross, Bandra","195 Street, Indiranagar",Hyderabad,16.94,1.5,96.34,385.51,COMPLETED,2024-04-21 02:04:44,2024-04-21 02:11:44,2024-04-21 03:12:44,
139,12,18.0,"157 Cross, Salt Lake","16 Cross, Connaught Place",Mumbai,16.86,1.5,88.31,343.09,COMPLETED,2025-01-29 16:23:02,2025-01-29 16:27:02,2025-01-29 17:31:02,
140,21,53.0,"105 Cross, Aundh","141 Street, Connaught Place",Mumbai,11.67,1.5,179.91,326.5,COMPLETED,2024-09-10 04:40:03,2024-09-10 04:43:03,2024-09-10 05:04:03,
141,64,61.0,"103 Street, Aundh","191 Main Rd, Gachibowli",Pune,15.19,1.2,122.31,391.98,COMPLETED,2024-07-11 05:29:16,2024-07-11 05:31:16,2024-07-11 06:39:16,
142,29,23.0,"143 Cross, Aundh","164 Layout, Viman Nagar",Delhi,6.64,1.0,65.0,168.71,COMPLETED,2025-11-25 19:10:01,2025-11-25 19:11:01,2025-11-25 19:39:01,
143,69,10.0,"244 Cross, MG Road","95 Layout, Gachibowli",Pune,5.0,1.0,81.73,0.0,ONGOING,2024-07-23 12:44:39,2024-07-23 12:51:39,,
144,77,19.0,"193 Street, MG Road","191 Main Rd, Connaught Place",Delhi,11.04,1.5,107.77,309.41,COMPLETED,2025-07-07 04:27:08,2025-07-07 04:35:08,2025-07-07 04:53:08,
